K_categorias,n_cortes,IG_bits,IG_frac_%,monotonico_pooled,monotonico_por_ano,anos_quebra,min_n_categoria
1,0,0.0,0.0,True,True,,319724193
2,1,0.06362095055611305,10.998363799749145,True,True,,102631474
3,2,0.08179073176969354,14.139433874968322,True,True,,45400840
4,3,0.09006673560729694,15.570133985835126,True,True,,18863730
5,4,0.09365541256224208,16.190520420889264,True,True,,14067867
6,5,0.09608312426680743,16.61020695958958,True,True,,11510075
7,6,0.0974216615751618,16.841604323950456,True,True,,9911451
8,7,0.09828963902728305,16.99165445217023,True,True,,7993106
9,8,0.09882033723080452,17.08339800298459,True,True,,4795863
10,9,0.09927244477090236,17.161555326305624,True,True,,4476141
11,10,0.09958404095817192,17.215421988093123,True,True,,3516968
12,11,0.09983233241663486,17.258344952378877,True,True,,3516968
13,12,0.1000147530978513,17.28988061789596,True,True,,3516968
14,13,0.10014459609858195,17.312327006175355,True,True,,3516968
15,14,0.10025731470421345,17.331813043729014,True,False,2024,959175
16,15,0.10036273133806439,17.350036765309767,True,False,2024,959175
17,16,0.10044703298419427,17.36461026924125,True,False,2024,959175
18,17,0.10051446765543132,17.37626792352806,True,False,2024,959175
19,18,0.10057552064770409,17.38682235589994,True,False,2024,959175
20,19,0.10061901313510763,17.394341045810087,True,False,2024,959175
21,20,0.10066168444331897,17.401717775761735,True,False,2023;2024,639449
22,21,0.10070086403335338,17.40849088086244,True,False,2023;2024,639449
23,22,0.10073036406097813,17.413590648047364,True,False,2023;2024,639449
24,23,0.10075718943666223,17.418228039319576,True,False,2023;2024,639449
25,24,0.10078345598411842,17.42276882411077,True,False,2023;2024,639449
26,25,0.10080590638387943,17.426649898848936,True,False,2023;2024,639449
27,26,0.10082831092981243,17.430523046684442,True,False,2023;2024,639449
28,27,0.100847021871462,17.43375766895115,True,False,2023;2024,639449
29,28,0.10086473161542103,17.436819210867128,True,False,2023;2024,639449
30,29,0.10087814098363446,17.439137332628068,True,False,2023;2024,639449
31,30,0.10088976719732318,17.44114719457833,True,False,2023;2024,639449
32,31,0.1009003975584255,17.442984900203665,True,False,2023;2024,639449
33,32,0.10091063455174681,17.44475460304179,True,False,2023;2024,319726
34,33,0.10092056554224249,17.446471406161024,True,False,2023;2024,319726
35,34,0.10093015954111767,17.448129952426072,True,False,2023;2024,319726
36,35,0.10093966863354581,17.449773820633258,True,False,2023;2024,319726
37,36,0.10094868769165455,17.451332974989548,True,False,2023;2024,319726
38,37,0.10095485769773371,17.452399604313886,True,False,2023;2024,319726
39,38,0.10096063830501639,17.453398916982476,True,False,2023;2024,319726
40,39,0.10096586547752828,17.45430255555479,True,False,2023;2024,319726
41,40,0.10097033565033153,17.45507532908785,True,False,2023;2024,319726
42,41,0.10097474450138588,17.45583750172769,True,False,2023;2024,319726
43,42,0.100978932025927,17.45656141292237,True,False,2023;2024,319726
44,43,0.10098305810557856,17.457274701936097,True,False,2023;2024,319726
45,44,0.1009870647386848,17.457967341831118,False,False,2023;2024,319726
46,45,0.10099119081833635,17.458680630844846,False,False,2023;2024,319726
47,46,0.1009948081333818,17.459305968041168,False,False,2023;2024,319726
48,47,0.10099841303877516,17.45992915993996,False,False,2023;2024,319724
49,48,0.10100198058170246,17.46054589286587,False,False,2023;2024,319724
50,49,0.10100529795972307,17.461119378958312,False,False,2023;2024,319724
51,50,0.10100848562683584,17.461670441497812,False,False,2023;2024,319724
52,51,0.10101129325386687,17.46215580525348,False,False,2023;2024,319724
53,52,0.10101407194504963,17.462636166773517,False,False,2023;2024,319724
54,53,0.10101674895890123,17.463098950997573,False,False,2023;2024,319724
55,54,0.10101925886054441,17.463532845982357,False,False,2023;2024,319724
56,55,0.10102149960861878,17.463920211500945,False,False,2023;2024,319724
57,56,0.10102354698787286,17.46427414871307,False,False,2023;2024,319724
58,57,0.10102551088733075,17.46461365449717,False,False,2023;2024,319724
59,58,0.10102740922404141,17.464941826232675,False,False,2023;2024,319724
60,59,0.10102930557748624,17.465269655114465,False,False,2023;2024,319724
61,60,0.10103099722184206,17.465562095260083,False,False,2023;2024,319724
62,61,0.10103265706386627,17.465849037631628,False,False,2023;2024,319724
63,62,0.10103421612127816,17.466118557034445,False,False,2023;2024,319724
64,63,0.10103581455926458,17.46639488428722,False,False,2023;2024,319724
65,64,0.10103737361667653,17.466664403690046,False,False,2023;2024,319724
66,65,0.10103882274375281,17.466914919072757,False,False,2023;2024,319724
67,66,0.10104024675974926,17.467161093420184,False,False,2022;2023;2024,319724
68,67,0.10104159576793581,17.467394300919832,False,False,2022;2023;2024,319724
69,68,0.10104291615500571,17.467622560592538,False,False,2022;2023;2024,319724
70,69,0.10104420749002013,17.467845797940484,False,False,2021;2022;2023;2024,319722
71,70,0.10104548315334522,17.46806632607175,False,False,2021;2022;2023;2024,319722
72,71,0.10104666770503068,17.468271103433015,False,False,2021;2022;2023;2024,319722
73,72,0.10104782132815948,17.46847053407257,False,False,2021;2022;2023;2024,319722
74,73,0.10104884784238943,17.468647990977065,False,False,2021;2022;2023;2024,319722
75,74,0.10104986309499708,17.468823501047723,False,False,2021;2022;2023;2024,319722
76,75,0.1010508737817456,17.468998221803236,False,False,2021;2022;2023;2024,319722
77,76,0.10105181967576815,17.46916174162627,False,False,2021;2022;2023;2024,319722
78,77,0.10105270433540214,17.469314675658353,False,False,2021;2022;2023;2024,319722
79,78,0.10105349720943235,17.469451742410033,False,False,2021;2022;2023;2024,319722
80,79,0.10105426179410526,17.469583918687107,False,False,2021;2022;2023;2024,319722
81,80,0.10105500125015732,17.469711750896522,False,False,2021;2022;2023;2024,319722
82,81,0.10105570408435299,17.469833252164694,False,False,2021;2022;2023;2024,319722
83,82,0.10105639057824334,17.46995192863033,False,False,2021;2022;2023;2024,319722
84,83,0.10105706422916899,17.47006838489025,False,False,2021;2022;2023;2024,319722
85,84,0.10105765315793808,17.47017019495121,False,False,2021;2022;2023;2024,319722
86,85,0.10105825834942206,17.470274816401396,False,False,2021;2022;2023;2024,319722
87,86,0.10105884727819137,17.470376626462397,False,False,2021;2022;2023;2024,319722
88,87,0.10105942509849752,17.47047651616669,False,False,2021;2022;2023;2024,319722
89,88,0.10105994775962007,17.470566870320777,False,False,2021;2022;2023;2024,319722
90,89,0.10106041639903479,17.470647885563853,False,False,2021;2022;2023;2024,319722
91,90,0.10106086943801879,17.470726203908956,False,False,2021;2022;2023;2024,319722
92,91,0.10106131531714435,17.470803284505692,False,False,2021;2022;2023;2024,319722
93,92,0.10106176198680983,17.47088050176567,False,False,2021;2022;2023;2024,319722
94,93,0.1010622078659354,17.470957582362406,False,False,2021;2022;2023;2024,319722
95,94,0.10106264878944976,17.47103380626627,False,False,2021;2022;2023;2024,319722
96,95,0.10106308897725758,17.47110990298611,False,False,2021;2022;2023;2024,319722
97,96,0.10106352407362201,17.471185119531324,False,False,2021;2022;2023;2024,319722
98,97,0.1010639448021895,17.471257852268035,False,False,2021;2022;2023;2024,319722
99,98,0.1010643639803252,17.471330316976484,False,False,2021;2022;2023;2024,319722
100,99,0.10106477296411231,17.471401019354232,False,False,2021;2022;2023;2024,319722
