categoria,mes,S_obs,S_weibull
1,0,1.0,1.0
1,1,0.99959,0.99956
1,2,0.9989,0.9991
1,3,0.99849,0.99862
1,4,0.99821,0.99813
1,5,0.99783,0.99763
1,6,0.99753,0.99713
1,7,0.99722,0.99663
1,8,0.99683,0.99612
1,9,0.99498,0.99562
1,10,0.99446,0.9951
1,11,0.99405,0.99459
1,12,0.99355,0.99407
1,13,,0.99355
1,14,,0.99303
1,15,,0.99251
1,16,,0.99199
1,17,,0.99146
1,18,,0.99094
1,19,,0.99041
1,20,,0.98988
1,21,,0.98935
1,22,,0.98882
1,23,,0.98829
1,24,,0.98776
1,25,,0.98722
1,26,,0.98669
1,27,,0.98615
1,28,,0.98562
1,29,,0.98508
1,30,,0.98455
1,31,,0.98401
1,32,,0.98347
1,33,,0.98293
1,34,,0.98239
1,35,,0.98185
1,36,,0.98131
2,0,1.0,1.0
2,1,0.9993,0.99926
2,2,0.99825,0.99839
2,3,0.99691,0.99745
2,4,0.99639,0.99647
2,5,0.99579,0.99546
2,6,0.9953,0.99443
2,7,0.9943,0.99338
2,8,0.99312,0.9923
2,9,0.99061,0.99121
2,10,0.98974,0.99011
2,11,0.98918,0.98899
2,12,0.98538,0.98786
2,13,,0.98672
2,14,,0.98557
2,15,,0.98441
2,16,,0.98324
2,17,,0.98207
2,18,,0.98089
2,19,,0.97969
2,20,,0.9785
2,21,,0.97729
2,22,,0.97608
2,23,,0.97487
2,24,,0.97365
2,25,,0.97242
2,26,,0.97119
2,27,,0.96996
2,28,,0.96872
2,29,,0.96748
2,30,,0.96623
2,31,,0.96498
2,32,,0.96373
2,33,,0.96247
2,34,,0.96121
2,35,,0.95994
2,36,,0.95868
3,0,1.0,1.0
3,1,0.99873,0.99889
3,2,0.99736,0.99731
3,3,0.9957,0.9955
3,4,0.99398,0.99352
3,5,0.99194,0.9914
3,6,0.98999,0.98916
3,7,0.9872,0.98682
3,8,0.98502,0.9844
3,9,0.9823,0.9819
3,10,0.97922,0.97932
3,11,0.97683,0.97669
3,12,0.96691,0.97399
3,13,,0.97124
3,14,,0.96844
3,15,,0.96559
3,16,,0.9627
3,17,,0.95976
3,18,,0.95679
3,19,,0.95379
3,20,,0.95074
3,21,,0.94767
3,22,,0.94457
3,23,,0.94143
3,24,,0.93827
3,25,,0.93509
3,26,,0.93188
3,27,,0.92865
3,28,,0.9254
3,29,,0.92212
3,30,,0.91883
3,31,,0.91552
3,32,,0.91219
3,33,,0.90885
3,34,,0.90549
3,35,,0.90211
3,36,,0.89872
4,0,1.0,1.0
4,1,0.99864,0.99872
4,2,0.99683,0.99655
4,3,0.99388,0.99384
4,4,0.99069,0.9907
4,5,0.98716,0.98722
4,6,0.98337,0.98343
4,7,0.97921,0.97937
4,8,0.97499,0.97506
4,9,0.97074,0.97054
4,10,0.96639,0.96581
4,11,0.96176,0.9609
4,12,0.95336,0.95582
4,13,,0.95058
4,14,,0.94519
4,15,,0.93966
4,16,,0.934
4,17,,0.92823
4,18,,0.92234
4,19,,0.91634
4,20,,0.91025
4,21,,0.90406
4,22,,0.89779
4,23,,0.89143
4,24,,0.88501
4,25,,0.87851
4,26,,0.87194
4,27,,0.86532
4,28,,0.85864
4,29,,0.85191
4,30,,0.84513
4,31,,0.83831
4,32,,0.83145
4,33,,0.82455
4,34,,0.81761
4,35,,0.81065
4,36,,0.80366
5,0,1.0,1.0
5,1,0.99839,0.99844
5,2,0.99601,0.99571
5,3,0.99213,0.99225
5,4,0.98808,0.98822
5,5,0.98344,0.9837
5,6,0.9786,0.97876
5,7,0.97325,0.97346
5,8,0.96785,0.96782
5,9,0.96225,0.96188
5,10,0.9568,0.95566
5,11,0.95095,0.94919
5,12,0.93941,0.94248
5,13,,0.93557
5,14,,0.92845
5,15,,0.92115
5,16,,0.91368
5,17,,0.90606
5,18,,0.89828
5,19,,0.89038
5,20,,0.88235
5,21,,0.87421
5,22,,0.86596
5,23,,0.85762
5,24,,0.84919
5,25,,0.84068
5,26,,0.8321
5,27,,0.82345
5,28,,0.81475
5,29,,0.80599
5,30,,0.79719
5,31,,0.78835
5,32,,0.77948
5,33,,0.77058
5,34,,0.76166
5,35,,0.75272
5,36,,0.74377
6,0,1.0,1.0
6,1,0.998,0.99808
6,2,0.99518,0.99468
6,3,0.99013,0.99036
6,4,0.98507,0.98532
6,5,0.97925,0.97967
6,6,0.97307,0.9735
6,7,0.96636,0.96686
6,8,0.95965,0.95981
6,9,0.95286,0.95239
6,10,0.94617,0.94462
6,11,0.939,0.93655
6,12,0.92522,0.9282
6,13,,0.9196
6,14,,0.91076
6,15,,0.9017
6,16,,0.89245
6,17,,0.88302
6,18,,0.87343
6,19,,0.8637
6,20,,0.85383
6,21,,0.84384
6,22,,0.83375
6,23,,0.82356
6,24,,0.81329
6,25,,0.80295
6,26,,0.79254
6,27,,0.78208
6,28,,0.77158
6,29,,0.76105
6,30,,0.75049
6,31,,0.73992
6,32,,0.72933
6,33,,0.71874
6,34,,0.70816
6,35,,0.69758
6,36,,0.68703
7,0,1.0,1.0
7,1,0.99755,0.99759
7,2,0.99392,0.99332
7,3,0.98739,0.98787
7,4,0.98106,0.98152
7,5,0.97357,0.9744
7,6,0.96584,0.96662
7,7,0.95756,0.95827
7,8,0.94918,0.94942
7,9,0.94065,0.9401
7,10,0.93243,0.93038
7,11,0.92324,0.92029
7,12,0.90858,0.90987
7,13,,0.89915
7,14,,0.88817
7,15,,0.87695
7,16,,0.86551
7,17,,0.85389
7,18,,0.84209
7,19,,0.83015
7,20,,0.81808
7,21,,0.80591
7,22,,0.79364
7,23,,0.78129
7,24,,0.76889
7,25,,0.75643
7,26,,0.74395
7,27,,0.73145
7,28,,0.71894
7,29,,0.70643
7,30,,0.69395
7,31,,0.68148
7,32,,0.66906
7,33,,0.65668
7,34,,0.64435
7,35,,0.63208
7,36,,0.61989
8,0,1.0,1.0
8,1,0.99707,0.99704
8,2,0.99249,0.99181
8,3,0.98423,0.98516
8,4,0.97656,0.97743
8,5,0.9675,0.96878
8,6,0.95831,0.95937
8,7,0.94834,0.94928
8,8,0.93828,0.9386
8,9,0.92819,0.9274
8,10,0.91809,0.91574
8,11,0.90731,0.90368
8,12,0.89249,0.89125
8,13,,0.8785
8,14,,0.86548
8,15,,0.85221
8,16,,0.83873
8,17,,0.82506
8,18,,0.81125
8,19,,0.79731
8,20,,0.78326
8,21,,0.76913
8,22,,0.75495
8,23,,0.74073
8,24,,0.72649
8,25,,0.71225
8,26,,0.69802
8,27,,0.68382
8,28,,0.66967
8,29,,0.65558
8,30,,0.64156
8,31,,0.62763
8,32,,0.61379
8,33,,0.60006
8,34,,0.58644
8,35,,0.57295
8,36,,0.55959
9,0,1.0,1.0
9,1,0.99663,0.99648
9,2,0.99101,0.99029
9,3,0.98091,0.98245
9,4,0.9718,0.97334
9,5,0.96133,0.96318
9,6,0.95066,0.95214
9,7,0.93902,0.94034
9,8,0.92744,0.92788
9,9,0.91591,0.91485
9,10,0.90445,0.90132
9,11,0.89229,0.88735
9,12,0.87723,0.873
9,13,,0.85832
9,14,,0.84336
9,15,,0.82817
9,16,,0.81278
9,17,,0.79723
9,18,,0.78156
9,19,,0.76579
9,20,,0.74995
9,21,,0.73408
9,22,,0.7182
9,23,,0.70233
9,24,,0.68649
9,25,,0.67071
9,26,,0.655
9,27,,0.63938
9,28,,0.62387
9,29,,0.60849
9,30,,0.59324
9,31,,0.57814
9,32,,0.56321
9,33,,0.54845
9,34,,0.53387
9,35,,0.51948
9,36,,0.5053
10,0,1.0,1.0
10,1,0.9961,0.99578
10,2,0.98895,0.98841
10,3,0.97697,0.97914
10,4,0.9663,0.96842
10,5,0.95401,0.95651
10,6,0.94152,0.94361
10,7,0.92823,0.92987
10,8,0.9151,0.91541
10,9,0.9019,0.90033
10,10,0.88889,0.88473
10,11,0.87499,0.86869
10,12,0.85919,0.85226
10,13,,0.83552
10,14,,0.81852
10,15,,0.80131
10,16,,0.78394
10,17,,0.76646
10,18,,0.7489
10,19,,0.73131
10,20,,0.71371
10,21,,0.69614
10,22,,0.67862
10,23,,0.66119
10,24,,0.64386
10,25,,0.62667
10,26,,0.60963
10,27,,0.59275
10,28,,0.57607
10,29,,0.55959
10,30,,0.54333
10,31,,0.5273
10,32,,0.51151
10,33,,0.49598
10,34,,0.48071
10,35,,0.46571
10,36,,0.45099
11,0,1.0,1.0
11,1,0.9953,0.99488
11,2,0.98687,0.98614
11,3,0.97249,0.97526
11,4,0.95993,0.96276
11,5,0.94578,0.94897
11,6,0.93154,0.93412
11,7,0.91664,0.91839
11,8,0.90175,0.90192
11,9,0.88678,0.88482
11,10,0.87201,0.86722
11,11,0.85648,0.84918
11,12,0.83942,0.8308
11,13,,0.81215
11,14,,0.79329
11,15,,0.77429
11,16,,0.75519
11,17,,0.73604
11,18,,0.71689
11,19,,0.69778
11,20,,0.67875
11,21,,0.65982
11,22,,0.64104
11,23,,0.62242
11,24,,0.604
11,25,,0.5858
11,26,,0.56783
11,27,,0.55012
11,28,,0.53268
11,29,,0.51553
11,30,,0.49868
11,31,,0.48214
11,32,,0.46592
11,33,,0.45004
11,34,,0.43449
11,35,,0.41928
11,36,,0.40443
12,0,1.0,1.0
12,1,0.9939,0.99341
12,2,0.98361,0.98282
12,3,0.96692,0.97001
12,4,0.95253,0.95559
12,5,0.93667,0.93992
12,6,0.92082,0.92327
12,7,0.90439,0.90581
12,8,0.88767,0.88771
12,9,0.8711,0.86909
12,10,0.85488,0.85006
12,11,0.83768,0.83071
12,12,0.8192,0.81112
12,13,,0.79138
12,14,,0.77153
12,15,,0.75164
12,16,,0.73175
12,17,,0.71192
12,18,,0.69219
12,19,,0.67259
12,20,,0.65315
12,21,,0.63391
12,22,,0.61489
12,23,,0.59611
12,24,,0.5776
12,25,,0.55938
12,26,,0.54145
12,27,,0.52385
12,28,,0.50657
12,29,,0.48963
12,30,,0.47304
12,31,,0.4568
12,32,,0.44093
12,33,,0.42542
12,34,,0.41028
12,35,,0.39552
12,36,,0.38113
13,0,1.0,1.0
13,1,0.99241,0.99175
13,2,0.97978,0.97911
13,3,0.96049,0.96418
13,4,0.94411,0.94764
13,5,0.92633,0.92989
13,6,0.90874,0.91123
13,7,0.89069,0.89185
13,8,0.87245,0.87193
13,9,0.85418,0.85158
13,10,0.83623,0.83093
13,11,0.81708,0.81008
13,12,0.79687,0.7891
13,13,,0.76806
13,14,,0.74704
13,15,,0.72608
13,16,,0.70524
13,17,,0.68455
13,18,,0.66406
13,19,,0.6438
13,20,,0.6238
13,21,,0.60408
13,22,,0.58467
13,23,,0.56559
13,24,,0.54686
13,25,,0.52848
13,26,,0.51048
13,27,,0.49286
13,28,,0.47562
13,29,,0.45879
13,30,,0.44236
13,31,,0.42633
13,32,,0.41071
13,33,,0.39551
13,34,,0.38071
13,35,,0.36632
13,36,,0.35234
14,0,1.0,1.0
14,1,0.98991,0.98916
14,2,0.97454,0.97381
14,3,0.95218,0.95632
14,4,0.93369,0.93743
14,5,0.91426,0.91755
14,6,0.89498,0.89696
14,7,0.8752,0.87586
14,8,0.85541,0.85441
14,9,0.83572,0.83274
14,10,0.8162,0.81095
14,11,0.79508,0.78913
14,12,0.77299,0.76735
14,13,,0.74567
14,14,,0.72414
14,15,,0.70281
14,16,,0.68172
14,17,,0.6609
14,18,,0.64038
14,19,,0.62019
14,20,,0.60034
14,21,,0.58086
14,22,,0.56176
14,23,,0.54305
14,24,,0.52475
14,25,,0.50685
14,26,,0.48937
14,27,,0.47231
14,28,,0.45567
14,29,,0.43946
14,30,,0.42368
14,31,,0.40832
14,32,,0.39338
14,33,,0.37887
14,34,,0.36477
14,35,,0.35108
14,36,,0.3378
15,0,1.0,1.0
15,1,0.98624,0.9853
15,2,0.96653,0.9663
15,3,0.94105,0.94553
15,4,0.92016,0.92372
15,5,0.89837,0.90127
15,6,0.87718,0.87843
15,7,0.85579,0.85538
15,8,0.83413,0.83225
15,9,0.81276,0.80916
15,10,0.79122,0.78618
15,11,0.7681,0.76339
15,12,0.74295,0.74083
15,13,,0.71856
15,14,,0.69662
15,15,,0.67502
15,16,,0.6538
15,17,,0.63299
15,18,,0.61258
15,19,,0.59261
15,20,,0.57308
15,21,,0.55399
15,22,,0.53536
15,23,,0.51718
15,24,,0.49946
15,25,,0.4822
15,26,,0.4654
15,27,,0.44905
15,28,,0.43316
15,29,,0.41771
15,30,,0.40271
15,31,,0.38815
15,32,,0.37402
15,33,,0.36032
15,34,,0.34703
15,35,,0.33416
15,36,,0.32169
16,0,1.0,1.0
16,1,0.97962,0.97846
16,2,0.9535,0.95409
16,3,0.92397,0.92893
16,4,0.90066,0.90352
16,5,0.87661,0.87812
16,6,0.85323,0.85288
16,7,0.83002,0.82792
16,8,0.80656,0.80331
16,9,0.78343,0.77911
16,10,0.75958,0.75535
16,11,0.73413,0.73206
16,12,0.7056,0.70927
16,13,,0.68698
16,14,,0.66522
16,15,,0.64398
16,16,,0.62327
16,17,,0.60309
16,18,,0.58343
16,19,,0.56431
16,20,,0.5457
16,21,,0.52761
16,22,,0.51003
16,23,,0.49295
16,24,,0.47637
16,25,,0.46027
16,26,,0.44465
16,27,,0.42949
16,28,,0.41479
16,29,,0.40054
16,30,,0.38673
16,31,,0.37335
16,32,,0.36038
16,33,,0.34783
16,34,,0.33567
16,35,,0.32389
16,36,,0.3125
17,0,1.0,1.0
17,1,0.96808,0.96719
17,2,0.93428,0.9362
17,3,0.9022,0.90647
17,4,0.87732,0.87785
17,5,0.85189,0.85026
17,6,0.82715,0.82363
17,7,0.80235,0.7979
17,8,0.7775,0.77304
17,9,0.75349,0.749
17,10,0.72815,0.72576
17,11,0.70094,0.70328
17,12,0.66848,0.68152
17,13,,0.66047
17,14,,0.6401
17,15,,0.62038
17,16,,0.60129
17,17,,0.58281
17,18,,0.56491
17,19,,0.54758
17,20,,0.53079
17,21,,0.51454
17,22,,0.49879
17,23,,0.48354
17,24,,0.46877
17,25,,0.45445
17,26,,0.44059
17,27,,0.42715
17,28,,0.41414
17,29,,0.40152
17,30,,0.3893
17,31,,0.37746
17,32,,0.36599
17,33,,0.35487
17,34,,0.34409
17,35,,0.33364
17,36,,0.32352
18,0,1.0,1.0
18,1,0.94865,0.94863
18,2,0.90651,0.91026
18,3,0.87335,0.87645
18,4,0.84852,0.84566
18,5,0.82251,0.81714
18,6,0.79773,0.79048
18,7,0.77264,0.76538
18,8,0.74762,0.74164
18,9,0.72351,0.7191
18,10,0.6984,0.69764
18,11,0.67009,0.67716
18,12,0.63438,0.65758
18,13,,0.63881
18,14,,0.62082
18,15,,0.60353
18,16,,0.5869
18,17,,0.5709
18,18,,0.55548
18,19,,0.54062
18,20,,0.52627
18,21,,0.51242
18,22,,0.49904
18,23,,0.48611
18,24,,0.4736
18,25,,0.4615
18,26,,0.44978
18,27,,0.43843
18,28,,0.42743
18,29,,0.41678
18,30,,0.40644
18,31,,0.39642
18,32,,0.3867
18,33,,0.37726
18,34,,0.3681
18,35,,0.3592
18,36,,0.35056
19,0,1.0,1.0
19,1,0.91573,0.9157
19,2,0.86016,0.86835
19,3,0.82704,0.83026
19,4,0.803,0.79753
19,5,0.77675,0.76848
19,6,0.7527,0.7422
19,7,0.72879,0.71813
19,8,0.70414,0.69586
19,9,0.6807,0.67511
19,10,0.65563,0.65568
19,11,0.62627,0.6374
19,12,0.59081,0.62012
19,13,,0.60375
19,14,,0.5882
19,15,,0.57338
19,16,,0.55924
19,17,,0.54571
19,18,,0.53276
19,19,,0.52033
19,20,,0.5084
19,21,,0.49692
19,22,,0.48586
19,23,,0.47521
19,24,,0.46493
19,25,,0.45501
19,26,,0.44542
19,27,,0.43614
19,28,,0.42717
19,29,,0.41848
19,30,,0.41005
19,31,,0.40189
19,32,,0.39396
19,33,,0.38627
19,34,,0.37881
19,35,,0.37155
19,36,,0.3645
20,0,1.0,1.0
20,1,0.88265,0.88133
20,2,0.81218,0.82408
20,3,0.77553,0.78012
20,4,0.74959,0.7435
20,5,0.72038,0.71177
20,6,0.69512,0.68362
20,7,0.66986,0.65823
20,8,0.64422,0.63508
20,9,0.62036,0.61378
20,10,0.59431,0.59404
20,11,0.56484,0.57565
20,12,0.52905,0.55843
20,13,,0.54225
20,14,,0.52698
20,15,,0.51255
20,16,,0.49886
20,17,,0.48585
20,18,,0.47346
20,19,,0.46163
20,20,,0.45033
20,21,,0.43952
20,22,,0.42915
20,23,,0.4192
20,24,,0.40965
20,25,,0.40045
20,26,,0.3916
20,27,,0.38307
20,28,,0.37485
20,29,,0.3669
20,30,,0.35923
20,31,,0.35182
20,32,,0.34464
20,33,,0.3377
20,34,,0.33097
20,35,,0.32445
20,36,,0.31813
21,0,1.0,1.0
21,1,0.88046,0.88537
21,2,0.80802,0.81532
21,3,0.75798,0.75861
21,4,0.72064,0.71008
21,5,0.68296,0.6674
21,6,0.64806,0.62923
21,7,0.61215,0.5947
21,8,0.57623,0.5632
21,9,0.5417,0.53428
21,10,0.5043,0.50759
21,11,0.46216,0.48286
21,12,0.41287,0.45986
21,13,,0.4384
21,14,,0.41833
21,15,,0.39952
21,16,,0.38184
21,17,,0.36521
21,18,,0.34954
21,19,,0.33474
21,20,,0.32076
21,21,,0.30752
21,22,,0.29498
21,23,,0.28309
21,24,,0.2718
21,25,,0.26107
21,26,,0.25087
21,27,,0.24116
21,28,,0.23191
21,29,,0.2231
21,30,,0.21469
21,31,,0.20667
21,32,,0.19901
21,33,,0.19169
21,34,,0.18469
21,35,,0.17799
21,36,,0.17159
22,0,1.0,1.0
22,1,0.9075,0.91987
22,2,0.83711,0.83759
22,3,0.76471,0.7594
22,4,0.70629,0.68653
22,5,0.64953,0.61929
22,6,0.59345,0.55764
22,7,0.53553,0.50136
22,8,0.47708,0.45018
22,9,0.41973,0.40375
22,10,0.35972,0.36173
22,11,0.28767,0.32378
22,12,0.19323,0.28956
22,13,,0.25875
22,14,,0.23105
22,15,,0.20617
22,16,,0.18385
22,17,,0.16384
22,18,,0.14593
22,19,,0.1299
22,20,,0.11557
22,21,,0.10278
22,22,,0.09135
22,23,,0.08116
22,24,,0.07207
22,25,,0.06398
22,26,,0.05677
22,27,,0.05035
22,28,,0.04464
22,29,,0.03956
22,30,,0.03505
22,31,,0.03104
22,32,,0.02749
22,33,,0.02433
22,34,,0.02153
22,35,,0.01904
22,36,,0.01684
23,0,1.0,1.0
23,1,0.8979,0.91427
23,2,0.80987,0.81491
23,3,0.72179,0.71765
23,4,0.65527,0.62663
23,5,0.58721,0.5435
23,6,0.5218,0.46877
23,7,0.45734,0.40238
23,8,0.39035,0.34392
23,9,0.32367,0.29284
23,10,0.25513,0.24849
23,11,0.17302,0.21018
23,12,0.06504,0.17726
23,13,,0.14909
23,14,,0.12507
23,15,,0.10467
23,16,,0.08739
23,17,,0.07281
23,18,,0.06054
23,19,,0.05023
23,20,,0.0416
23,21,,0.0344
23,22,,0.02839
23,23,,0.02339
23,24,,0.01924
23,25,,0.0158
23,26,,0.01296
23,27,,0.01061
23,28,,0.00868
23,29,,0.00708
23,30,,0.00578
23,31,,0.0047
23,32,,0.00383
23,33,,0.00311
23,34,,0.00252
23,35,,0.00204
23,36,,0.00165
